schema_name,table_name,index_name,index_oid,indexdef,is_constraint_owned,constraint_name,constraint_type
landscape,_migrations,_migrations_migration_file_key,516106,CREATE UNIQUE INDEX _migrations_migration_file_key ON landscape._migrations USING btree (migration_file),True,_migrations_migration_file_key,u
landscape,_migrations,_migrations_pkey,516104,CREATE UNIQUE INDEX _migrations_pkey ON landscape._migrations USING btree (migration_id),True,_migrations_pkey,p
landscape,ai_correction_log,ai_correction_log_pkey,794653,CREATE UNIQUE INDEX ai_correction_log_pkey ON landscape.ai_correction_log USING btree (id),True,ai_correction_log_pkey,p
landscape,ai_correction_log,idx_correction_log_correction_type,794663,CREATE INDEX idx_correction_log_correction_type ON landscape.ai_correction_log USING btree (correction_type),False,,
landscape,ai_correction_log,idx_correction_log_created_at,794662,CREATE INDEX idx_correction_log_created_at ON landscape.ai_correction_log USING btree (created_at),False,,
landscape,ai_correction_log,idx_correction_log_field_path,794661,CREATE INDEX idx_correction_log_field_path ON landscape.ai_correction_log USING btree (field_path),False,,
landscape,ai_correction_log,idx_correction_log_queue_id,794660,CREATE INDEX idx_correction_log_queue_id ON landscape.ai_correction_log USING btree (queue_id),False,,
landscape,ai_extraction_staging,ai_extraction_staging_pkey,1335306,CREATE UNIQUE INDEX ai_extraction_staging_pkey ON landscape.ai_extraction_staging USING btree (extraction_id),True,ai_extraction_staging_pkey,p
landscape,ai_extraction_staging,idx_extraction_staging_doc,1335319,CREATE INDEX idx_extraction_staging_doc ON landscape.ai_extraction_staging USING btree (doc_id),False,,
landscape,ai_extraction_staging,idx_extraction_staging_project,1335318,"CREATE INDEX idx_extraction_staging_project ON landscape.ai_extraction_staging USING btree (project_id, status)",False,,
landscape,ai_extraction_staging,idx_staging_field_key,1343657,CREATE INDEX idx_staging_field_key ON landscape.ai_extraction_staging USING btree (field_key),False,,
landscape,ai_extraction_staging,idx_staging_property_type,1343658,CREATE INDEX idx_staging_property_type ON landscape.ai_extraction_staging USING btree (property_type),False,,
landscape,ai_extraction_staging,idx_staging_scope,1343659,CREATE INDEX idx_staging_scope ON landscape.ai_extraction_staging USING btree (scope),False,,
landscape,ai_extraction_staging,idx_staging_unique_pending,1540100,"CREATE UNIQUE INDEX idx_staging_unique_pending ON landscape.ai_extraction_staging USING btree (project_id, field_key, COALESCE(scope_label, ''::character varying), COALESCE(array_index, 0)) WHERE ((status)::text = 'pending'::text)",False,,
landscape,ai_extraction_warnings,ai_extraction_warnings_pkey,794673,CREATE UNIQUE INDEX ai_extraction_warnings_pkey ON landscape.ai_extraction_warnings USING btree (id),True,ai_extraction_warnings_pkey,p
landscape,ai_extraction_warnings,idx_extraction_warnings_created_at,794682,CREATE INDEX idx_extraction_warnings_created_at ON landscape.ai_extraction_warnings USING btree (created_at),False,,
landscape,ai_extraction_warnings,idx_extraction_warnings_queue_id,794680,CREATE INDEX idx_extraction_warnings_queue_id ON landscape.ai_extraction_warnings USING btree (queue_id),False,,
landscape,ai_extraction_warnings,idx_extraction_warnings_severity,794681,CREATE INDEX idx_extraction_warnings_severity ON landscape.ai_extraction_warnings USING btree (severity),False,,
landscape,ai_ingestion_history,ai_ingestion_history_pkey,409631,CREATE UNIQUE INDEX ai_ingestion_history_pkey ON landscape.ai_ingestion_history USING btree (ingestion_id),True,ai_ingestion_history_pkey,p
landscape,ai_review_history,ai_review_history_pkey,409608,CREATE UNIQUE INDEX ai_review_history_pkey ON landscape.ai_review_history USING btree (review_id),True,ai_review_history_pkey,p
landscape,ai_review_history,idx_ai_review_history_action_type,409616,CREATE INDEX idx_ai_review_history_action_type ON landscape.ai_review_history USING btree (action_type),False,,
landscape,ai_review_history,idx_ai_review_history_created_at,409617,CREATE INDEX idx_ai_review_history_created_at ON landscape.ai_review_history USING btree (created_at),False,,
landscape,ai_review_history,idx_ai_review_history_project_id,409615,CREATE INDEX idx_ai_review_history_project_id ON landscape.ai_review_history USING btree (project_id),False,,
landscape,auth_group,auth_group_name_a6ea08ec_like,655496,CREATE INDEX auth_group_name_a6ea08ec_like ON landscape.auth_group USING btree (name varchar_pattern_ops),False,,
landscape,auth_group,auth_group_name_key,655494,CREATE UNIQUE INDEX auth_group_name_key ON landscape.auth_group USING btree (name),True,auth_group_name_key,u
landscape,auth_group,auth_group_pkey,655386,CREATE UNIQUE INDEX auth_group_pkey ON landscape.auth_group USING btree (id),True,auth_group_pkey,p
landscape,auth_group_permissions,auth_group_permissions_group_id_b120cbf9,655437,CREATE INDEX auth_group_permissions_group_id_b120cbf9 ON landscape.auth_group_permissions USING btree (group_id),False,,
landscape,auth_group_permissions,auth_group_permissions_group_id_permission_id_0cd325b0_uniq,655425,"CREATE UNIQUE INDEX auth_group_permissions_group_id_permission_id_0cd325b0_uniq ON landscape.auth_group_permissions USING btree (group_id, permission_id)",True,auth_group_permissions_group_id_permission_id_0cd325b0_uniq,u
landscape,auth_group_permissions,auth_group_permissions_permission_id_84c5c92e,655438,CREATE INDEX auth_group_permissions_permission_id_84c5c92e ON landscape.auth_group_permissions USING btree (permission_id),False,,
landscape,auth_group_permissions,auth_group_permissions_pkey,655394,CREATE UNIQUE INDEX auth_group_permissions_pkey ON landscape.auth_group_permissions USING btree (id),True,auth_group_permissions_pkey,p
landscape,auth_permission,auth_permission_content_type_id_2f476e4b,655423,CREATE INDEX auth_permission_content_type_id_2f476e4b ON landscape.auth_permission USING btree (content_type_id),False,,
landscape,auth_permission,auth_permission_content_type_id_codename_01ab375a_uniq,655416,"CREATE UNIQUE INDEX auth_permission_content_type_id_codename_01ab375a_uniq ON landscape.auth_permission USING btree (content_type_id, codename)",True,auth_permission_content_type_id_codename_01ab375a_uniq,u
landscape,auth_permission,auth_permission_pkey,655380,CREATE UNIQUE INDEX auth_permission_pkey ON landscape.auth_permission USING btree (id),True,auth_permission_pkey,p
landscape,auth_user,auth_user_pkey,655400,CREATE UNIQUE INDEX auth_user_pkey ON landscape.auth_user USING btree (id),True,auth_user_pkey,p
landscape,auth_user,auth_user_username_6821ab7c_like,655491,CREATE INDEX auth_user_username_6821ab7c_like ON landscape.auth_user USING btree (username varchar_pattern_ops),False,,
landscape,auth_user,auth_user_username_key,655489,CREATE UNIQUE INDEX auth_user_username_key ON landscape.auth_user USING btree (username),True,auth_user_username_key,u
landscape,auth_user_groups,auth_user_groups_group_id_97559544,655453,CREATE INDEX auth_user_groups_group_id_97559544 ON landscape.auth_user_groups USING btree (group_id),False,,
landscape,auth_user_groups,auth_user_groups_pkey,655408,CREATE UNIQUE INDEX auth_user_groups_pkey ON landscape.auth_user_groups USING btree (id),True,auth_user_groups_pkey,p
landscape,auth_user_groups,auth_user_groups_user_id_6a12ed8b,655452,CREATE INDEX auth_user_groups_user_id_6a12ed8b ON landscape.auth_user_groups USING btree (user_id),False,,
